#;NAME;P0;P1
1;J0002+6216;0.115364;5.97e-15
2;J0006+1834;0.693748;2.10e-15
3;J0007+7303;0.315873;3.60e-13
4;B0011+47;1.240699;5.64e-16
5;J0026+6320;0.318358;1.50e-16
6;B0031-07;0.942951;4.08e-16
7;B0037+56;1.118225;2.88e-15
8;J0045-7042;0.632336;2.49e-15
9;J0045-7319;0.926276;4.46e-15
10;B0045+33;1.217094;2.35e-15
11;B0052+51;2.115171;9.54e-15
12;B0053+47;0.472037;3.33e-15
13;J0057-7201;0.738062;1.00e-16
14;J0100-7211;8.020392;1.88e-11
15;B0059+65;1.679164;5.95e-15
16;J0106+4855;0.083157;4.28e-16
17;J0108-1431;0.807565;7.70e-17
18;B0105+65;1.283660;1.31e-14
19;B0105+68;1.071118;4.81e-17
20;J0111-7131;0.688542;7.09e-15
21;J0113-7220;0.325883;4.86e-15
22;B0114+58;0.101439;5.85e-15
23;J0131-7310;0.348124;1.76e-15
24;J0133-6957;0.463474;1.20e-16
25;J0134-2937;0.136962;7.84e-17
26;J0137+1654;0.414763;1.22e-17
27;J0139+5621;1.775344;7.91e-14
28;B0136+57;0.272451;1.07e-14
29;B0138+59;1.222949;3.91e-16
30;J0146+6145;8.688994;1.99e-12
31;B0144+59;0.196321;2.57e-16
32;B0148-06;1.464665;4.43e-16
33;J0152+0948;2.746647;1.70e-15
34;B0149-16;0.832742;1.30e-15
35;B0153+39;1.811561;1.52e-16
36;B0154+61;2.351745;1.89e-13
37;J0201+7005;1.349184;5.51e-15
38;J0205+6449;0.065716;1.94e-13
39;B0203-40;0.630550;1.20e-15
40;J0211-8159;1.077333;2.90e-16
41;J0212+5222;0.376386;6.60e-15
42;J0215+6218;0.548880;6.62e-16
43;B0226+70;1.466820;3.11e-15
44;J0248+6021;0.217094;5.51e-14
45;B0254-53;0.447708;3.06e-17
46;B0301+19;1.387584;1.30e-15
47;B0320+39;3.032072;6.36e-16
48;J0324+5239;0.336620;3.81e-16
49;J0329+1654;0.893320;2.15e-16
50;B0329+54;0.714520;2.05e-15
51;J0343-3000;2.597027;5.70e-17
52;B0339+53;1.934478;1.34e-14
53;J0357+3205;0.444104;1.30e-14
54;B0353+52;0.197030;4.77e-16
55;B0355+54;0.156384;4.39e-15
56;J0359+5414;0.079427;1.67e-14
57;B0403-76;0.545253;1.54e-15
58;B0402+61;0.594576;5.57e-15
59;B0410+69;0.390715;7.66e-17
60;J0418-4154;0.757119;9.74e-16
61;J0418+5732;9.078388;4.10e-15
62;J0420-5022;3.453004;2.76e-14
63;J0421-0345;2.161308;1.16e-15
64;J0426+4933;0.922475;3.93e-14
65;J0448-2749;0.450448;1.48e-16
66;J0449-7031;0.479164;3.37e-15
67;B0447-12;0.438014;1.03e-16
68;B0450-18;0.548939;5.75e-15
69;B0450+55;0.340729;2.37e-15
70;B0456-69;0.320423;1.02e-14
71;J0456-7031;0.800132;3.67e-14
72;J0457-6337;2.497012;2.10e-16
73;J0458-0505;1.883480;5.30e-16
74;J0459-0210;1.133076;1.40e-15
75;J0501+4516;5.762097;5.82e-12
76;B0458+46;0.638565;5.58e-15
77;B0502-66;0.691251;2.31e-14
78;J0511-6508;0.322062;2.06e-16
79;J0519-6932;0.263212;6.97e-16
80;J0520-2553;0.241642;3.01e-17
81;J0522-6847;0.674532;1.77e-14
82;B0523+11;0.354438;7.36e-17
83;J0525-6607;8.047000;6.50e-11
84;B0525+21;3.745539;4.01e-14
85;B0529-66;0.975725;1.55e-14
86;J0532-6639;0.642743;5.35e-15
87;J0533+0402;0.963018;1.60e-16
88;B0531+21;0.033392;4.21e-13
89;J0534-6703;1.817565;4.25e-13
90;J0535-6935;0.200511;1.15e-14
91;B0538-75;1.245856;5.65e-16
92;J0537-6910;0.016122;5.18e-14
93;J0538+2817;0.143158;3.67e-15
94;J0540+3207;0.524271;4.48e-16
95;B0540-69;0.050570;4.79e-13
96;J0540-7125;1.286015;8.20e-16
97;B0540+23;0.245975;1.54e-14
98;J0543-6851;0.708954;3.94e-15
99;J0546+2441;2.843850;7.65e-15
100;J0554+3107;0.464961;1.43e-13
101;J0555-7056;0.827838;5.96e-15
102;B0559-57;2.261365;2.78e-15
103;B0559-05;0.395969;1.30e-15
104;J0611+1436;0.270329;4.00e-15
105;B0609+37;0.297982;5.95e-17
106;J0613+3731;0.619198;3.24e-15
107;B0611+22;0.334960;5.94e-14
108;J0622+3749;0.333208;2.54e-14
109;J0623+0340;0.613760;8.84e-17
110;B0621-04;1.039076;8.30e-16
111;J0627+0649;0.346523;1.70e-15
112;J0627+0706;0.475877;2.98e-14
113;J0628+0909;1.241421;5.48e-16
114;B0626+24;0.476623;2.00e-15
115;J0630-0046;0.680575;3.75e-15
116;B0628-28;1.244419;7.12e-15
117;J0631+0646;0.110979;3.62e-15
118;J0631+1036;0.287800;1.05e-13
119;J0633+0632;0.297395;7.96e-14
120;J0633+1746;0.237099;1.10e-14
121;J0633-2015;3.253211;3.82e-15
122;J0636-4549;1.984597;3.17e-15
123;J0646+0905;0.903913;7.36e-16
124;J0647+0913;1.234854;6.42e-15
125;J0652-0142;0.924054;1.52e-16
126;B0643+80;1.214441;3.80e-15
127;J0656-2228;1.224754;2.67e-17
128;J0656-5449;0.183157;3.19e-17
129;J0658+0022;0.563295;9.15e-15
130;B0656+14;0.384891;5.50e-14
131;J0709-5923;0.485268;1.26e-16
132;J0711+0931;1.214090;4.00e-16
133;J0719-2545;0.974725;7.28e-15
134;J0720-3125;8.391116;6.98e-14
135;J0725-1635;0.424311;9.26e-17
136;J0726-2612;3.442308;2.93e-13
137;J0729-1448;0.251659;1.13e-13
138;B0727-18;0.510160;1.90e-14
139;J0733-2345;1.796250;5.70e-15
140;J0734-1559;0.156250;1.22e-14
141;J0737-2202;0.320366;5.47e-15
142;J0737-3039B;2.773461;8.92e-16
143;B0736-40;0.374920;1.62e-15
144;B0740-28;0.166762;1.68e-14
145;B0743-53;0.214836;2.73e-15
146;J0746-4529;2.791025;1.67e-14
147;J0749-4247;1.095452;9.77e-16
148;B0751+32;1.442349;1.08e-15
149;B0756-15;0.682265;1.62e-15
150;J0804-3647;2.191987;4.21e-15
151;J0806-4123;11.370386;5.56e-14
152;J0807-5421;0.526644;3.78e-16
153;J0808-3937;0.866349;4.01e-16
154;B0808-47;0.547199;3.08e-15
155;J0812-3905;0.482596;4.49e-17
156;B0809+74;1.292241;1.68e-16
157;J0815+0939;0.645161;1.39e-16
158;J0818-3049;0.763742;5.80e-16
159;J0818-3232;2.161259;7.53e-16
160;B0818-13;1.238130;2.11e-15
161;J0820-3826;0.124836;2.44e-15
162;J0820-3921;1.073567;1.22e-14
163;B0818-41;0.545446;1.89e-17
164;J0821-4221;0.396728;3.48e-15
165;B0820+02;0.864873;1.05e-16
166;B0823+26;0.530661;1.71e-15
167;B0826-34;1.848919;9.96e-16
168;J0831-4406;0.311674;1.28e-15
169;J0834-4159;0.121116;4.44e-15
170;J0835-3707;0.541404;9.78e-15
171;B0833-45;0.089328;1.25e-13
172;B0834+06;1.273768;6.80e-15
173;B0835-41;0.751624;3.54e-15
174;J0838-2621;0.308581;3.90e-17
175;J0838-3947;1.703946;8.13e-16
176;B0839-53;0.720612;1.64e-15
177;B0840-48;0.644354;9.50e-15
178;J0843-5022;0.208956;1.72e-16
179;B0844-35;1.116097;1.60e-15
180;J0847-4316;5.977493;1.20e-13
181;J0849-6322;0.367953;7.91e-16
182;B0841+80;1.602228;4.46e-16
183;B0853-33;1.267536;6.32e-15
184;J0855-4644;0.064686;7.26e-15
185;J0855-4658;0.575072;1.36e-14
186;B0855-61;0.962509;1.68e-15
187;J0857-4424;0.326774;2.33e-14
188;J0901-4624;0.441995;8.75e-14
189;B0901-63;0.660313;1.07e-16
190;B0903-42;0.965171;1.89e-15
191;B0904-74;0.549553;4.63e-16
192;J0905-4536;0.988281;1.49e-16
193;J0905-5127;0.346287;2.49e-14
194;J0905-6019;0.340854;5.22e-16
195;B0905-51;0.253556;1.83e-15
196;B0906-17;0.401626;6.69e-16
197;B0906-49;0.106755;1.52e-14
198;B0909-71;1.362890;3.33e-16
